2021-12-09 15:37:44,583 DEBUG transport.py Сформирован словарь сообщения: {'action': 'message', 'from': 'gagik', 'to': 'fuganok', 'time': 1639039064.5837522, 'mess_text': 'Ti5I8tUhvZLvh368WgouN2oFOPMUjLPh/hT5xtL1D3I5L63/GXAjY0I8h2SZ8xdzTMv4yUcH15ByaP2vk6d99fOFsHqfCTwlS1CuSaisWGSKnFRZnj5hdjBN+SGNSPRcTM/dd+n42cxd4XoWiHdbb8dEE0V3M68mKzJaUVXnfTMGFKF4XhOKuGMxlht0Tau8TCfovSF8X4n0n/iy2yOf52ikGThL999u0U9KYzsOS7FNx9xI1mozQfLXrjNZuhz64WH7dXU/u3B4IExdXsGyU00c8kw65uqi1yQUml9UhjTblPe7mtFSRHv1POHSxoRp8XqQ8jAn1ckNFUR870IUdg=='}
2021-12-09 15:38:05,028 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:06,532 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:08,046 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:09,564 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:11,078 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:12,593 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:14,116 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:15,639 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:17,146 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:18,669 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:20,199 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:21,721 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:23,240 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:24,759 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:26,280 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:27,800 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:29,314 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:30,832 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:32,340 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:33,857 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:35,371 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:36,889 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:38,400 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:39,910 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:41,432 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:42,939 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:44,451 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:45,966 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:47,480 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:48,990 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:50,517 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:52,028 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:53,545 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:55,069 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:56,591 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:58,099 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:38:59,609 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:01,129 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:02,656 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:04,180 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:05,691 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:07,199 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:08,717 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:10,229 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2021-12-09 15:39:11,738 DEBUG decos.py Функция: get_message с параметрами: (<socket.socket fd=1364, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49309), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
